Metode,Jumlah Iterasi,Rata-rata Waktu Operasi (ms),Waktu Operasi Maksimum (ms),Waktu Operasi Minimum (ms),Total Error,Total Recovery,Total Timeout,Rata-rata CPU End (%),Rata-rata Memory (MB),Rata-rata Waktu Write (ms),Rata-rata Waktu Read (ms)
GroupSync,12,1215.9869333332836,2744.4156000001385,264.36280000007173,12,1,0,50.32500000000001,80.0703125,14.6175583333464,61.4808833333124
NonGroupSync,12,2807.4850583334032,4737.684000000172,1821.272399999998,0,0,1,30.758333333333336,80.16536458333333,1308.9417166666333,735.0582999999536
